sport,field_name,entity_level,required_columns,example_row,validation_rules,cutoff_safe_requirement,source_required,source_url_hash_required,notes
"mlb","game_id","market","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""game_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","market_odds_blocked","sha256(source_url)","request paid retrieval approval and re-run discovery"
"mlb","season","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""season"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","manual_csv_import","sha256(source_url)","create manual import template and request curated input"
"mlb","event_date","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""event_date"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","manual_csv_import","sha256(source_url)","create manual import template and request curated input"
"mlb","home_team","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""home_team"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","away_team","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""away_team"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","home_score","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""home_score"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","away_score","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""away_score"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","winner","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""winner"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_schedules_results","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","final_result","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""final_result"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_schedules_results","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","game_type","season","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""game_type"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","postseason_labels_retrosheet","sha256(source_url)","promote validated rows into the completed field catalog"
