sport,field_name,entity_level,required_columns,example_row,validation_rules,cutoff_safe_requirement,source_required,source_url_hash_required,notes
"nfl","season","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""season"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","team","staff","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""team"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_coaching_research","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","coach_id","staff","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""coach_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_coaching_research","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","coach_name","staff","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""coach_name"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_coaching_research","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","role","staff","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""role"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_coaching_research","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","player_id","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""player_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","team_abbr","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""team_abbr"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","player_display_name","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""player_display_name"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","avg_speed","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""avg_speed"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
"nfl","avg_separation","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""avg_separation"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""nfl"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","nflverse_ftn_charting_blocked","sha256(source_url)","keep source disabled and use approved alternatives only"
